"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2000","2000","USD","US Dollar","0","units",,,18549,,
"IRL","Ireland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2001","2001","USD","US Dollar","0","units",,,18288,,
"IRL","Ireland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2002","2002","USD","US Dollar","0","units",,,18354,,
"IRL","Ireland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2003","2003","USD","US Dollar","0","units",,,18553,,
"IRL","Ireland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2004","2004","USD","US Dollar","0","units",,,19869,,
"IRL","Ireland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2005","2005","USD","US Dollar","0","units",,,20742,,
"IRL","Ireland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2006","2006","USD","US Dollar","0","units",,,20546,,
"IRL","Ireland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2007","2007","USD","US Dollar","0","units",,,21708,,
"IRL","Ireland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2008","2008","USD","US Dollar","0","units",,,21280,,
"IRL","Ireland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2009","2009","USD","US Dollar","0","units",,,22277,,
"IRL","Ireland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","units",,,22491,,
"IRL","Ireland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","units",,,21923,,
"IRL","Ireland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","units",,,21556,,
"IRL","Ireland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","units",,,21447,,
"IRL","Ireland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","units",,,21404,,
"ESP","Spain","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2000","2000","USD","US Dollar","0","units",,,11124,,
"ESP","Spain","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2001","2001","USD","US Dollar","0","units",,,10958,,
"ESP","Spain","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2002","2002","USD","US Dollar","0","units",,,10847,,
"ESP","Spain","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2003","2003","USD","US Dollar","0","units",,,10741,,
"ESP","Spain","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2004","2004","USD","US Dollar","0","units",,,10990,,
"ESP","Spain","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2005","2005","USD","US Dollar","0","units",,,11466,,
"ESP","Spain","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2006","2006","USD","US Dollar","0","units",,,11680,,
"ESP","Spain","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2007","2007","USD","US Dollar","0","units",,,11985,,
"ESP","Spain","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2008","2008","USD","US Dollar","0","units",,,12109,,
"ESP","Spain","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2009","2009","USD","US Dollar","0","units",,,12631,,
"ESP","Spain","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","units",,,12592,,
"ESP","Spain","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","units",,,12360,,
"ESP","Spain","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","units",,,12065,,
"ESP","Spain","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","units",,,11968,,
"ESP","Spain","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","units",,,11987,,
"AUS","Australia","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2000","2000","USD","US Dollar","0","units",,,27505,,
"AUS","Australia","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2001","2001","USD","US Dollar","0","units",,,27256,,
"AUS","Australia","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2002","2002","USD","US Dollar","0","units",,,27523,,
