순위,선수 *(팀)*,경기,승,패,세이브,홀드,이닝,투구수,피안타,피홈런,탈삼진,사사구,실점,자책,평균자책,WHIP,QS
1,양현종 (KIA),26,12,5,0,1,03/02/0152,2488,123,15,125,62,41,39,2.3,1.21,16
2,해커 (NC),25,16,4,0,0,03/01/0166,2511,135,9,143,30,58,48,2.6,0.99,21
3,유희관 (두산),24,16,4,0,0,03/01/0163,2503,155,17,113,37,58,57,3.14,1.18,15
4,린드블럼 (롯데),26,11,7,0,0,174,2731,158,21,141,41,66,65,3.36,1.14,19
5,장원준 (두산),24,11,9,0,0,03/01/0142,2402,146,7,110,53,61,56,3.54,1.4,15
6,윤성환 (삼성),24,13,7,0,0,160,2483,156,22,140,25,66,63,3.54,1.13,14
7,피가로 (삼성),23,12,6,0,0,152,2453,145,15,108,50,64,60,3.55,1.28,16
8,밴헤켄 (넥센),26,12,6,0,0,03/01/0162,2666,154,11,165,53,74,66,3.66,1.28,14
9,김광현 (SK),23,11,3,0,0,136,2268,138,12,127,53,69,57,3.77,1.4,12
10,레일리 (롯데),26,7,8,0,0,146,2400,155,16,112,43,79,65,4.01,1.36,15
11,피어밴드 (넥센),25,11,8,0,0,03/01/0149,2432,162,16,122,49,73,68,4.1,1.41,16
12,옥스프링 (kt),26,9,9,0,0,159,2677,164,20,122,56,85,73,4.13,1.38,13
13,켈리 (SK),23,7,9,0,0,03/02/0142,2239,152,14,104,42,70,66,4.16,1.36,13
14,소사 (LG),25,8,10,0,1,03/01/0153,2459,159,15,129,29,84,72,4.23,1.23,14
15,스틴슨 (KIA),27,10,8,0,0,03/01/0151,2539,167,13,80,56,83,77,4.58,1.47,11
16,차우찬 (삼성),24,9,5,0,0,143,2510,131,24,150,59,80,75,4.72,1.33,15
17,클로이드 (삼성),23,10,8,0,0,03/01/0133,2259,155,17,97,32,76,71,4.79,1.4,13
18,루카스 (LG),28,8,9,0,1,03/01/0142,2733,140,11,134,90,85,78,4.93,1.62,9
19,탈보트 (한화),25,8,9,0,0,126,2299,131,11,91,69,83,74,5.29,1.59,10
