"COUNTRY","Country","SEX","Sex","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","2010","2010","IDX","Index","0","units",,,16.096001,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","2011","2011","IDX","Index","0","units",,,16.91,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","2012","2012","IDX","Index","0","units",,,18.944,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","2013","2013","IDX","Index","0","units",,,15.829,,
"AUS","Australia","MW","All persons","P5010","Decile 5/Decile 1","2010","2010","P50P10","Interdecile ratio P50/P10","0","units",,,1.6670001,,
"AUS","Australia","MW","All persons","P5010","Decile 5/Decile 1","2011","2011","P50P10","Interdecile ratio P50/P10","0","units",,,1.7130001,,
"AUS","Australia","MW","All persons","P5010","Decile 5/Decile 1","2012","2012","P50P10","Interdecile ratio P50/P10","0","units",,,1.7,,
"AUS","Australia","MW","All persons","P5010","Decile 5/Decile 1","2013","2013","P50P10","Interdecile ratio P50/P10","0","units",,,1.742,,
"AUS","Australia","MW","All persons","P9010","Decile 9/Decile 1","2010","2010","P90P10","Interdecile ratio P90/P10","0","units",,,3.3329999,,
"AUS","Australia","MW","All persons","P9010","Decile 9/Decile 1","2011","2011","P90P10","Interdecile ratio P90/P10","0","units",,,3.312,,
"AUS","Australia","MW","All persons","P9010","Decile 9/Decile 1","2012","2012","P90P10","Interdecile ratio P90/P10","0","units",,,3.3789999,,
"AUS","Australia","MW","All persons","P9010","Decile 9/Decile 1","2013","2013","P90P10","Interdecile ratio P90/P10","0","units",,,3.4849999,,
"AUS","Australia","MW","All persons","P9050","Decile 9/Decile 5","2010","2010","P90P50","Interdecile ratio P90/P50","0","units",,,2,,
"AUS","Australia","MW","All persons","P9050","Decile 9/Decile 5","2011","2011","P90P50","Interdecile ratio P90/P50","0","units",,,1.933,,
"AUS","Australia","MW","All persons","P9050","Decile 9/Decile 5","2012","2012","P90P50","Interdecile ratio P90/P50","0","units",,,1.987,,
"AUS","Australia","MW","All persons","P9050","Decile 9/Decile 5","2013","2013","P90P50","Interdecile ratio P90/P50","0","units",,,2,,
"AUT","Austria","MW","All persons","LPI","Low Pay Incidence","2010","2010","IDX","Index","0","units",,,16.469999,,
"AUT","Austria","MW","All persons","LPI","Low Pay Incidence","2011","2011","IDX","Index","0","units",,,16.076,,
"AUT","Austria","MW","All persons","LPI","Low Pay Incidence","2012","2012","IDX","Index","0","units",,,16.07,,
"AUT","Austria","MW","All persons","P5010","Decile 5/Decile 1","2010","2010","P50P10","Interdecile ratio P50/P10","0","units",,,1.744,,
"AUT","Austria","MW","All persons","P5010","Decile 5/Decile 1","2011","2011","P50P10","Interdecile ratio P50/P10","0","units",,,1.723,,
"AUT","Austria","MW","All persons","P5010","Decile 5/Decile 1","2012","2012","P50P10","Interdecile ratio P50/P10","0","units",,,1.725,,
"AUT","Austria","MW","All persons","P9010","Decile 9/Decile 1","2010","2010","P90P10","Interdecile ratio P90/P10","0","units",,,3.385,,
"AUT","Austria","MW","All persons","P9010","Decile 9/Decile 1","2011","2011","P90P10","Interdecile ratio P90/P10","0","units",,,3.3429999,,
"AUT","Austria","MW","All persons","P9010","Decile 9/Decile 1","2012","2012","P90P10","Interdecile ratio P90/P10","0","units",,,3.3540001,,
"AUT","Austria","MW","All persons","P9050","Decile 9/Decile 5","2010","2010","P90P50","Interdecile ratio P90/P50","0","units",,,1.941,,
"AUT","Austria","MW","All persons","P9050","Decile 9/Decile 5","2011","2011","P90P50","Interdecile ratio P90/P50","0","units",,,1.941,,
"AUT","Austria","MW","All persons","P9050","Decile 9/Decile 5","2012","2012","P90P50","Interdecile ratio P90/P50","0","units",,,1.9450001,,
"BEL","Belgium","MW","All persons","LPI","Low Pay Incidence","2010","2010","IDX","Index","0","units",,,4.3000002,,
"BEL","Belgium","MW","All persons","LPI","Low Pay Incidence","2011","2011","IDX","Index","0","units",,,5.4000001,,
"BEL","Belgium","MW","All persons","LPI","Low Pay Incidence","2012","2012","IDX","Index","0","units",,,6,,
"BEL","Belgium","MW","All persons","P5010","Decile 5/Decile 1","2010","2010","P50P10","Interdecile ratio P50/P10","0","units",,,1.373,,
"BEL","Belgium","MW","All persons","P5010","Decile 5/Decile 1","2011","2011","P50P10","Interdecile ratio P50/P10","0","units",,,1.386,,
"BEL","Belgium","MW","All persons","P5010","Decile 5/Decile 1","2012","2012","P50P10","Interdecile ratio P50/P10","0","units",,,1.409,,
"BEL","Belgium","MW","All persons","P9010","Decile 9/Decile 1","2010","2010","P90P10","Interdecile ratio P90/P10","0","units",,,2.3789999,,
"BEL","Belgium","MW","All persons","P9010","Decile 9/Decile 1","2011","2011","P90P10","Interdecile ratio P90/P10","0","units",,,2.447,,
"BEL","Belgium","MW","All persons","P9010","Decile 9/Decile 1","2012","2012","P90P10","Interdecile ratio P90/P10","0","units",,,2.473,,
"BEL","Belgium","MW","All persons","P9050","Decile 9/Decile 5","2010","2010","P90P50","Interdecile ratio P90/P50","0","units",,,1.733,,
"BEL","Belgium","MW","All persons","P9050","Decile 9/Decile 5","2011","2011","P90P50","Interdecile ratio P90/P50","0","units",,,1.766,,
