"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.45100001,,
"AUS","Australia","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.45199999,,
"AUS","Australia","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.44,,
"AUS","Australia","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.44,,
"BEL","Belgium","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.43200001,,
"BEL","Belgium","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.43200001,,
"BEL","Belgium","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.43399999,,
"BEL","Belgium","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.426,,
"CAN","Canada","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.389,,
"CAN","Canada","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.39399999,,
"CAN","Canada","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.396,,
"CAN","Canada","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.39399999,,
"CZE","Czech Republic","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.29699999,,
"CZE","Czech Republic","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.31200001,,
"CZE","Czech Republic","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.30599999,,
"CZE","Czech Republic","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.31,,
"FRA","France","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.50300002,,
"FRA","France","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.50099999,,
"FRA","France","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.509,,
"FRA","France","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.50700003,,
"GRC","Greece","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.41999999,,
"GRC","Greece","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.43399999,,
"GRC","Greece","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.366,,
"GRC","Greece","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.37900001,,
"HUN","Hungary","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.347,,
"HUN","Hungary","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.36300001,,
"HUN","Hungary","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.396,,
"HUN","Hungary","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.40200001,,
"IRL","Ireland","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.43700001,,
"IRL","Ireland","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.43799999,,
"IRL","Ireland","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.43700001,,
"IRL","Ireland","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.44,,
"JPN","Japan","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.32600001,,
"JPN","Japan","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.333,,
"JPN","Japan","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.333,,
"JPN","Japan","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.33899999,,
"KOR","Korea","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.359,,
"KOR","Korea","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.35800001,,
"KOR","Korea","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.34099999,,
"KOR","Korea","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.35100001,,
"LUX","Luxembourg","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.33500001,,
"LUX","Luxembourg","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.34,,
"LUX","Luxembourg","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.34,,
"LUX","Luxembourg","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.34,,
"MEX","Mexico","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.26499999,,
"MEX","Mexico","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.27000001,,
"MEX","Mexico","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.27200001,,
"MEX","Mexico","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.27399999,,
"NLD","Netherlands","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.41499999,,
"NLD","Netherlands","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.41600001,,
